№,Перерізи,,,,,,,,,
73,"0,604","-0,618","-1,35","0,25","0,013","0,552","0,608","0,678","0,136","-0,447"
74,"0,172","1,44","-0,608","0,084","0,58","0,205","0,838","1,12","0,119","0,287"
75,"0,082","0,664","-0,965","-0,155","0,846","-0,053","-0,121","0,586","0,012","-0,249"
76,"0,258","0,099","-0,991","-0,41","0,474","0,962","0,786","-0,393","0,269","0,055"
77,"0,157","-0,778","-0,844","-0,039","0,584","0,607","0,949","0,32","-0,329","0,453"
78,"-1,05","0,031","-0,83","0,166","0,778","1,73","0,469","0,535","0,344","0,289"
79,"-0,559","-0,178","-0,759","0,266","0,683","0,106","0,588","0,622","0,107","0,216"
80,"-0,736","-0,743","-1,16","0,119","0,024","0,366","1,09","1,12","0,07","0,179"
81,"-0,089","0,424","-0,649","0,003","0,373","0,875","1,14","0,549","0,899","0,051"
82,"-0,31","-0,945","-0,685","-0,285","0,147","1,16","0,683","1,06","-0,045","-0,317"
83,"0,343","-0,162","-0,98","0,183","0,339","0,234","1,13","0,595","0,169","0,097"
84,"0,1","-0,607","-0,482","-0,017","0,683","0,219","0,205","0,401","0,453","0,481"
85,"-0,505","-0,52","-0,62","0,043","0,561","1,22","0,7","1,02","0,201","-0,136"
86,"-0,138","0,315","-0,7","0,811","0,362","0,585","0,479","0,352","0,672","0,68"
87,"0,226","-1,36","-0,886","-0,088","0,428","1,12","0,983","0,633","0,092","0,359"
88,"0,626","-0,011","-0,887","-0,423","0,019","0,459","0,097","0,713","0,023","-0,478"
89,"-0,076","-0,636","-1,1","-0,214","0,743","1,1","0,942","0,745","-0,048","-0,188"
90,"-0,97","-0,897","-0,668","0,042","1,21","0,844","1,42","0,599","0,227","-0,211"
91,"-0,314","-0,256","-0,469","0,164","-0,009","0,523","0,768","1,1","0,456","-0,81"
92,"-0,153","-0,798","-0,463","-0,006","1,16","-0,244","0,304","0,424","0,249","-0,505"
93,"-0,992","-1,15","-0,326","-0,008","0,248","0,221","0,708","0,675","-0,112","0,927"
94,"0,592","-0,401","-0,98","0,142","0,302","-0,189","0,865","0,258","-0,131","-0,026"
95,"0,037","-0,288","-0,87","-0,701","0,92","1,18","1,3","-0,367","0,525","0,898"
96,"-0,596","-0,164","-0,489","0,333","0,055","0,05","0,837","0,743","0,269","-0,02"
97,"1,04","0,009","-1,11","0,2","0,349","0,285","0,707","-0,164","-0,174","-0,364"
98,"0,21","-0,135","-0,418","-0,285","0,484","0,339","0,515","0,361","-0,057","0,443"
99,"0,249","-0,918","-0,594","0,26","1,25","1,14","0,901","0,18","0,119","0,241"
100,"-0,204","0,289","-0,828","0,39","0,12","1,02","1,21","-0,411","0,171","0,222"
